Company Name,Industry,City,Address,Website,Phone,Email,Email Status,CEO/Owner Name,Status,Source
Elangeni College,Education,Durban,,,,,,,New,OpenStreetMap
Nissan,Automotive,Durban,,,,,,,New,OpenStreetMap
Volkswagen,Automotive,Durban,,,,,,,New,OpenStreetMap
Mercedes-Benz,Automotive,Durban,,,,,,,New,OpenStreetMap
Mitsubishi,Automotive,Durban,,,,,,,New,OpenStreetMap
Elangeni College - Ntuzuma Campus,Education,Durban,,,,,,,New,OpenStreetMap
Jeep pinetown,Automotive,Durban,,,,,,,New,OpenStreetMap
Autolek Motolek Malvern,Automotive / Repair,Durban,,,,,,,New,OpenStreetMap
Florida Park Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Royal Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Cabana Beach Resort,Hospitality / Hotel,Durban,10 Lagoon Drive Umhlanga,https://www.southernsun.com/cabana-beach-resort?utm_source=openstreetmap&utm_medium=businesslisting&utm_campaign=hotel_cabana-beach-resort,+27 31 561 2371,cabanabeach.reservations@southernsun.com,Found on listing,,New,OpenStreetMap
Beverly Hills,Hospitality / Hotel,Durban,1 Lighthouse Road Umhlanga,https://www.southernsun.com/beverly-hills?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_beverly-hills,+27 31 561 2211,beverlyhills.reservations@southernsun.com,Found on listing,,New,OpenStreetMap
Garden Court South Beach,Hospitality / Hotel,Durban,73 OR Tambo Parade Durban,https://www.southernsun.com/garden-court-south-beach,+27 31 337 2231,gcsouthbeach.reservations@southernsun.com,Found on listing,,New,OpenStreetMap
Medicross Pinetown,Medical / Clinic,Durban,"2 Meller Road New Germany, Pinetown",,+27 31 709 3070,,,,New,OpenStreetMap
Stonebridge Clinic,Medical / Clinic,Durban,,,,,,,New,OpenStreetMap
Durban Girls' High School,Education,Durban,495 Lena Ahrens Road Durban,https://www.dghs.co.za/,+27 31 205 2275; +27 31 205 2276,info@dghs.co.za,Found on listing,,New,OpenStreetMap
Newkwa Medical Centre,Medical / Clinic,Durban,909-913 Inanda Road Durban,http://newkwa.co.za/,+27 31 577 2765,info@newkwa.co.za,Guessed - Verify,,New,OpenStreetMap
Redhill Clinic,Medical / Clinic,Durban,"162 Firwood Road Red Hill, Durban",,,,,,New,OpenStreetMap
Dunlop Epress,Automotive / Repair,Durban,714 Chris Hani Road Durban,,+27 31 563 0749,,,,New,OpenStreetMap
Dennis Auto,Automotive / Repair,Durban,15 Orange Grove Durban,,,,,,New,OpenStreetMap
Medwell SA,Medical / Clinic,Durban,,,,,,,New,OpenStreetMap
Forest Manor Boutique Guest House,Hospitality / Guest House,Durban,62 Forest Drive Umhlanga Rocks,,,,,,New,OpenStreetMap
SUN1 Durban,Hospitality / Hotel,Durban,"65 Masabalala Yengwa Ave, Stamford Hill Durban",https://www.southernsun.com/sun1-durban?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_sun1-durban,+27 31 301 1551,SUN1.Durban@southernsun.com,Found on listing,,New,OpenStreetMap
Bho's Driving Academy,Education / Driving School,Durban,,,,,,,New,OpenStreetMap
Thekwini TVET College - Melbourne Campus,Education,Durban,,,,,,,New,OpenStreetMap
